ErelGV	1	1000	0
ErelGV	1000	2000	5
ErelGV	2000	3000	10
ErelGV	3000	4000	15
ErelGV	4000	5000	20
ErelGV	5000	6000	25
ErelGV	6000	7000	30
ErelGV	7000	8000	35
ErelGV	8000	9000	40
ErelGV	9000	10000	45
ErelGV	10000	11000	50
ErelGV	11000	12000	55
ErelGV	12000	13000	60
ErelGV	13000	14000	65
ErelGV	14000	15000	70
ErelGV	15000	16000	75
ErelGV	16000	17000	80
ErelGV	17000	18000	85
ErelGV	18000	19000	90
ErelGV	19000	20000	95
ErelGV	20000	21000	100
ErelGV	21000	22000	0
ErelGV	22000	23000	11.1111111111
ErelGV	23000	24000	22.2222222222
ErelGV	24000	25000	33.3333333333
ErelGV	25000	26000	44.4444444444
ErelGV	26000	27000	55.5555555556
ErelGV	27000	28000	66.6666666667
ErelGV	28000	29000	77.7777777778
ErelGV	29000	30000	88.8888888889
ErelGV	30000	31000	100

