ErelGV	1	747
ErelGV	1063	1899
ErelGV	1996	2541
ErelGV	2812	3765
ErelGV	4405	4644
ErelGV	6091	6666
ErelGV	7792	7950
ErelGV	9735	9959
ErelGV	12012	12194
ErelGV	12884	13909
ErelGV	13944	14396
ErelGV	16438	16722
ErelGV	16646	17878
ErelGV	18356	20137
ErelGV	20368	21297
ErelGV	22107	22673
ErelGV	22695	23006
ErelGV	23501	24028
ErelGV	24012	24284
ErelGV	27223	28068
ErelGV	28088	28345
ErelGV	28355	29479
ErelGV	29486	29776
ErelGV	29691	32639
ErelGV	33299	33451
ErelGV	33838	34893
ErelGV	34791	35063
ErelGV	36612	36803
ErelGV	41964	43145
ErelGV	43191	43856
ErelGV	43870	44433
ErelGV	44430	44717
ErelGV	45958	47568
ErelGV	48641	48793
ErelGV	48806	49312
ErelGV	51290	52462
ErelGV	52504	52833
ErelGV	52887	54011
ErelGV	54057	54236
ErelGV	54961	55860
ErelGV	56408	59710
ErelGV	60930	61694
ErelGV	63135	63995
ErelGV	64056	64910
ErelGV	65073	65249
ErelGV	66274	66648
ErelGV	68415	68822
ErelGV	68800	69381
ErelGV	69359	70195
ErelGV	70229	71038
ErelGV	71048	71338
ErelGV	71262	72383
ErelGV	73828	73995
ErelGV	73925	74179
ErelGV	74191	74643
ErelGV	78866	80959
ErelGV	82066	82443
ErelGV	82494	83081
ErelGV	83062	83904
ErelGV	83882	85363
ErelGV	85369	85833
ErelGV	87675	87905
ErelGV	87960	88178
ErelGV	89562	89840
ErelGV	89890	91095
ErelGV	91004	92374
ErelGV	96374	96772
ErelGV	97791	98177
ErelGV	98044	99054
ErelGV	99051	99224
ErelGV	99249	100130
ErelGV	101746	102726
