ErelGV	744	1082
ErelGV	3840	4415
ErelGV	4744	6060
ErelGV	6694	6999
ErelGV	7152	7793
ErelGV	8171	8446
ErelGV	8447	9826
ErelGV	9974	11032
ErelGV	11050	11529
ErelGV	11544	11942
ErelGV	12237	12764
ErelGV	14493	15635
ErelGV	16085	16246
ErelGV	17927	18115
ErelGV	21359	22069
ErelGV	23038	23352
ErelGV	24247	25026
ErelGV	25007	25345
ErelGV	25355	25798
ErelGV	25856	27244
ErelGV	32636	33289
ErelGV	33459	33746
ErelGV	35064	35900
ErelGV	35881	36174
ErelGV	36210	36683
ErelGV	36962	37351
ErelGV	37365	39329
ErelGV	39333	39710
ErelGV	39784	40503
ErelGV	40661	41266
ErelGV	41426	41599
ErelGV	41620	41889
ErelGV	44769	45242
ErelGV	45223	45927
ErelGV	47569	48252
ErelGV	48316	48636
ErelGV	49283	49585
ErelGV	49671	50516
ErelGV	50531	50761
ErelGV	50697	51266
ErelGV	54286	55014
ErelGV	55857	56342
ErelGV	59740	60381
ErelGV	60405	60893
ErelGV	61691	63058
ErelGV	65175	66275
ErelGV	66635	68425
ErelGV	72445	73113
ErelGV	73157	73834
ErelGV	74635	75723
ErelGV	75760	78918
ErelGV	81081	82094
ErelGV	85830	87503
ErelGV	88239	89435
ErelGV	92416	93474
ErelGV	93489	96098
ErelGV	96769	97563
ErelGV	100167	101567
ErelGV	102776	103276
