ErelGV	1	747	1
ErelGV	1063	1899	3
ErelGV	1996	2541	2
ErelGV	2812	3765	1
ErelGV	3840	4415	1
ErelGV	4405	4644	1
ErelGV	4744	6060	1
ErelGV	6091	6666	1
ErelGV	6694	6999	1
ErelGV	7152	7793	2
ErelGV	7792	7950	1
ErelGV	8447	9826	2
ErelGV	9735	9959	3
ErelGV	9974	11032	1
ErelGV	11050	11529	4
ErelGV	11544	11942	2
ErelGV	12012	12194	1
ErelGV	12237	12764	1
ErelGV	12884	13909	1
ErelGV	13944	14396	1
ErelGV	14493	15635	2
ErelGV	16085	16246	3
ErelGV	16646	17878	1
ErelGV	17927	18115	1
ErelGV	18356	20137	1
ErelGV	20368	21297	2
ErelGV	21359	22069	1
ErelGV	22107	22673	1
ErelGV	22695	23006	1
ErelGV	23038	23352	2
ErelGV	23501	24028	3
ErelGV	24012	24284	4
ErelGV	24247	25026	1
ErelGV	25007	25345	2
ErelGV	25856	27244	4
ErelGV	27223	28068	3
ErelGV	28088	28345	1
ErelGV	28355	29479	1
ErelGV	29691	32639	1
ErelGV	32636	33289	1
ErelGV	33459	33746	1
ErelGV	33838	34893	1
ErelGV	35064	35900	1
ErelGV	36210	36683	1
ErelGV	36962	37351	3
ErelGV	37365	39329	2
ErelGV	40661	41266	1
ErelGV	41426	41599	3
ErelGV	41964	43145	2
ErelGV	43191	43856	3
ErelGV	43870	44433	1
ErelGV	44430	44717	2
ErelGV	44769	45242	1
ErelGV	45223	45927	3
ErelGV	45958	47568	1
ErelGV	47569	48252	2
ErelGV	48641	48793	3
ErelGV	48806	49312	1
ErelGV	49283	49585	1
ErelGV	49671	50516	1
ErelGV	50697	51266	2
ErelGV	51290	52462	1
ErelGV	52504	52833	2
ErelGV	52887	54011	2
ErelGV	54286	55014	1
ErelGV	54961	55860	2
ErelGV	55857	56342	2
ErelGV	56408	59710	1
ErelGV	59740	60381	1
ErelGV	60930	61694	3
ErelGV	61691	63058	1
ErelGV	63135	63995	1
ErelGV	64056	64910	1
ErelGV	65175	66275	1
ErelGV	66635	68425	1
ErelGV	68415	68822	3
ErelGV	68800	69381	1
ErelGV	69359	70195	1
ErelGV	70229	71038	3
ErelGV	71262	72383	1
ErelGV	73157	73834	3
ErelGV	73925	74179	1
ErelGV	74635	75723	1
ErelGV	75760	78918	1
ErelGV	78866	80959	1
ErelGV	81081	82094	1
ErelGV	82066	82443	1
ErelGV	82494	83081	2
ErelGV	83062	83904	1
ErelGV	83882	85363	1
ErelGV	85369	85833	1
ErelGV	85830	87503	1
ErelGV	87675	87905	1
ErelGV	87960	88178	1
ErelGV	88239	89435	2
ErelGV	89562	89840	1
ErelGV	89890	91095	1
ErelGV	91004	92374	2
ErelGV	92416	93474	2
ErelGV	93489	96098	1
ErelGV	96374	96772	1
ErelGV	96769	97563	3
ErelGV	97791	98177	4
ErelGV	98044	99054	1
ErelGV	99051	99224	2
ErelGV	99249	100130	1
ErelGV	100167	101567	1
ErelGV	101746	102726	2
ErelGV	102776	103276	4
